Generation 00000 --> STR 09, INT 02, STM 01, AGL 09
Generation 00001 --> STR 08, INT 03, STM 02, AGL 07
Generation 00002 --> STR 09, INT 04, STM 01, AGL 08
Generation 00003 --> STR 07, INT 05, STM 02, AGL 06
Generation 00004 --> STR 05, INT 06, STM 01, AGL 05
Generation 00005 --> STR 03, INT 04, STM 01, AGL 04
Generation 00006 --> STR 01, INT 05, STM 01, AGL 05
Generation 00007 --> STR 01, INT 03, STM 01, AGL 04
Generation 00008 --> STR 02, INT 01, STM 01, AGL 05
Generation 00009 --> STR 03, INT 01, STM 01, AGL 03
Generation 00010 --> STR 01, INT 01, STM 02, AGL 01
Generation 00011 --> STR 02, INT 01, STM 01, AGL 01
Generation 00012 --> STR 01, INT 01, STM 01, AGL 01
Generation 00013 --> STR 01, INT 01, STM 01, AGL 01
Generation 00014 --> STR 02, INT 01, STM 01, AGL 02
Generation 00015 --> STR 01, INT 01, STM 01, AGL 01
Generation 00016 --> STR 02, INT 01, STM 02, AGL 01
Generation 00017 --> STR 01, INT 01, STM 01, AGL 01
Generation 00018 --> STR 01, INT 02, STM 02, AGL 01
Generation 00019 --> STR 02, INT 03, STM 01, AGL 02
Generation 00020 --> STR 01, INT 01, STM 02, AGL 01
Generation 00021 --> STR 02, INT 01, STM 01, AGL 01
Generation 00022 --> STR 01, INT 02, STM 01, AGL 01
Generation 00023 --> STR 01, INT 01, STM 01, AGL 02
Generation 00024 --> STR 01, INT 01, STM 01, AGL 03
Generation 00025 --> STR 01, INT 02, STM 01, AGL 02
Generation 00026 --> STR 01, INT 01, STM 01, AGL 03
Generation 00027 --> STR 02, INT 01, STM 01, AGL 04
Generation 00028 --> STR 01, INT 02, STM 02, AGL 02
Generation 00029 --> STR 01, INT 01, STM 01, AGL 01
Generation 00030 --> STR 02, INT 01, STM 01, AGL 01
Generation 00031 --> STR 03, INT 01, STM 01, AGL 01
Generation 00032 --> STR 02, INT 01, STM 02, AGL 01
Generation 00033 --> STR 01, INT 01, STM 03, AGL 02
Generation 00034 --> STR 01, INT 01, STM 02, AGL 01
Generation 00035 --> STR 01, INT 02, STM 03, AGL 01
Generation 00036 --> STR 01, INT 01, STM 01, AGL 01
Generation 00037 --> STR 02, INT 01, STM 01, AGL 01
Generation 00038 --> STR 01, INT 02, STM 02, AGL 01
Generation 00039 --> STR 02, INT 01, STM 01, AGL 01
Generation 00040 --> STR 01, INT 02, STM 01, AGL 01
Generation 00041 --> STR 02, INT 03, STM 01, AGL 01
Generation 00042 --> STR 03, INT 01, STM 01, AGL 01
Generation 00043 --> STR 01, INT 02, STM 01, AGL 02
Generation 00044 --> STR 02, INT 01, STM 02, AGL 03
Generation 00045 --> STR 01, INT 01, STM 01, AGL 02
Generation 00046 --> STR 01, INT 01, STM 01, AGL 01
Generation 00047 --> STR 01, INT 01, STM 02, AGL 02
Generation 00048 --> STR 02, INT 01, STM 01, AGL 01
Generation 00049 --> STR 03, INT 02, STM 01, AGL 01
Generation 00050 --> STR 04, INT 03, STM 01, AGL 01
Generation 00051 --> STR 02, INT 04, STM 01, AGL 01
Generation 00052 --> STR 01, INT 03, STM 01, AGL 01
Generation 00053 --> STR 01, INT 01, STM 01, AGL 01
Generation 00054 --> STR 01, INT 01, STM 01, AGL 02
Generation 00055 --> STR 01, INT 01, STM 01, AGL 01
Generation 00056 --> STR 01, INT 01, STM 01, AGL 02
Generation 00057 --> STR 02, INT 02, STM 01, AGL 03
Generation 00058 --> STR 01, INT 03, STM 01, AGL 02
Generation 00059 --> STR 02, INT 02, STM 02, AGL 01
Generation 00060 --> STR 03, INT 03, STM 01, AGL 01
Generation 00061 --> STR 04, INT 02, STM 02, AGL 01
Generation 00062 --> STR 02, INT 01, STM 01, AGL 01
Generation 00063 --> STR 01, INT 01, STM 02, AGL 01
Generation 00064 --> STR 01, INT 02, STM 01, AGL 02
Generation 00065 --> STR 01, INT 03, STM 01, AGL 01
Generation 00066 --> STR 02, INT 04, STM 02, AGL 01
Generation 00067 --> STR 03, INT 05, STM 03, AGL 01
Generation 00068 --> STR 01, INT 03, STM 04, AGL 01
Generation 00069 --> STR 01, INT 02, STM 02, AGL 01
Generation 00070 --> STR 02, INT 01, STM 03, AGL 02
Generation 00071 --> STR 01, INT 01, STM 02, AGL 01
Generation 00072 --> STR 01, INT 01, STM 01, AGL 01
Generation 00073 --> STR 01, INT 02, STM 02, AGL 02
Generation 00074 --> STR 02, INT 01, STM 01, AGL 03
Generation 00075 --> STR 01, INT 02, STM 01, AGL 01
Generation 00076 --> STR 01, INT 03, STM 02, AGL 01
Generation 00077 --> STR 01, INT 02, STM 03, AGL 01
Generation 00078 --> STR 01, INT 01, STM 01, AGL 01
Generation 00079 --> STR 02, INT 01, STM 02, AGL 01
Generation 00080 --> STR 01, INT 02, STM 01, AGL 01
Generation 00081 --> STR 02, INT 01, STM 01, AGL 01
Generation 00082 --> STR 01, INT 01, STM 02, AGL 02
Generation 00083 --> STR 01, INT 01, STM 01, AGL 03
Generation 00084 --> STR 01, INT 02, STM 02, AGL 04
Generation 00085 --> STR 01, INT 01, STM 01, AGL 02
Generation 00086 --> STR 02, INT 02, STM 02, AGL 01
Generation 00087 --> STR 01, INT 01, STM 03, AGL 02
Generation 00088 --> STR 02, INT 01, STM 01, AGL 01
Generation 00089 --> STR 03, INT 02, STM 01, AGL 01
Generation 00090 --> STR 04, INT 01, STM 02, AGL 01
Generation 00091 --> STR 05, INT 01, STM 01, AGL 01
Generation 00092 --> STR 03, INT 01, STM 02, AGL 01
Generation 00093 --> STR 01, INT 02, STM 03, AGL 01
Generation 00094 --> STR 01, INT 01, STM 02, AGL 01
Generation 00095 --> STR 01, INT 01, STM 01, AGL 02
Generation 00096 --> STR 02, INT 01, STM 01, AGL 01
Generation 00097 --> STR 01, INT 01, STM 01, AGL 01
Generation 00098 --> STR 01, INT 01, STM 01, AGL 02
Generation 00099 --> STR 01, INT 02, STM 01, AGL 03
Generation 00100 --> STR 01, INT 03, STM 02, AGL 04
Generation 00101 --> STR 01, INT 02, STM 01, AGL 05
Generation 00102 --> STR 02, INT 01, STM 01, AGL 04
Generation 00103 --> STR 01, INT 01, STM 01, AGL 03
Generation 00104 --> STR 01, INT 01, STM 02, AGL 01
Generation 00105 --> STR 01, INT 01, STM 03, AGL 01
Generation 00106 --> STR 01, INT 01, STM 02, AGL 01
Generation 00107 --> STR 01, INT 01, STM 03, AGL 01
Generation 00108 --> STR 01, INT 02, STM 02, AGL 01
Generation 00109 --> STR 01, INT 01, STM 01, AGL 02
Generation 00110 --> STR 01, INT 01, STM 02, AGL 01
Generation 00111 --> STR 01, INT 01, STM 03, AGL 01
Generation 00112 --> STR 02, INT 01, STM 01, AGL 01
Generation 00113 --> STR 01, INT 01, STM 02, AGL 01
Generation 00114 --> STR 01, INT 01, STM 01, AGL 01
Generation 00115 --> STR 01, INT 02, STM 01, AGL 01
Generation 00116 --> STR 01, INT 03, STM 01, AGL 02
Generation 00117 --> STR 01, INT 04, STM 01, AGL 03
Generation 00118 --> STR 02, INT 02, STM 01, AGL 01
Generation 00119 --> STR 03, INT 03, STM 02, AGL 01
Generation 00120 --> STR 02, INT 04, STM 03, AGL 01
Generation 00121 --> STR 03, INT 03, STM 04, AGL 01
Generation 00122 --> STR 01, INT 02, STM 05, AGL 02
Generation 00123 --> STR 01, INT 01, STM 06, AGL 01
Generation 00124 --> STR 02, INT 01, STM 07, AGL 01
Generation 00125 --> STR 03, INT 02, STM 08, AGL 01
Generation 00126 --> STR 04, INT 01, STM 07, AGL 01
Generation 00127 --> STR 03, INT 01, STM 05, AGL 01
